writer_SubjectID,Story_No,Story_Content
36,76,"My mother-in-law took our child for the weekend and then refused to bring him home. The police would not get involved and my wife was reticent to go after her stepmother for the issues that were occurring, so we had a big fight. I ultimately contacted Child Protective Services, which led to a protracted battle that did ultimately result in the return of our child. I spent most of the time furious and anxious. I spoke to the authorities a lot and fought with my wife who was just as upset as I was, but of course had other priorities in addition to my own. It was a very tense time, but we managed to work through it and ended up stronger for it. However, I never wish to see or hear from my stepmother-in-law again and neither does my wife."
165,77,"During our courtship days, my partner was double dating, dating me and another individual, when I discovered I became sad."
75,78,"We are moving a bench in the back yard.  As soon as we reach the spot where we want to place it for the summer my wife asks me ""Is this where you want to put it?""  I say, ""Of course"". She then proceeds to say in a rather snippy voice ""Don't be so crabby!"".  I look at her quite surprised and can feel my anger start to boil up.  I had broken her of the habit of calling me stupid and the like but not crabby.  Rather than getting into an argument with her I walked  to the edge of the yard where I sat down on the electrical box holding the electrical gear for the neighborhood with my back facing her. Later that day we had a discussion about name calling."
119,79,"A man downloaded snapchat and his wife didn't know. His wife's friend told her that he had a snapchat. When the wife asked the man about the snapchat, he said he would delete it. A couple of weeks passed and she found out he did not delete it and he was sending snaps to a girl that the wife did not like. When asked about the snapchat again, he said he was going to delete his entire account and delete the application for good. He did it in front of her, but at this point she does not believe that he has really given up the application for good and she thinks that he will be making a new profile once he is able to. Her trust for him is completely broken. I am the wife in the scenario and my husband is the man. "
202,80,"There are two 1000 piece puzzles on the dining room table at either end. The woman is hunched over her puzzle, concentrating very hard.  She is picking up pieces, putting them in a spot, only to discard them.  The man comes along, and spends a moment watching her.  They are talking about the puzzle, how the pieces are not uniform in size, how the colors look alike, how two pieces could go in different places and look like they fit, and basically how difficult this puzzle is for the woman.  The woman points to a spot on the puzzle and says how easy it should be to find that piece, but she hasn't found it yet.  The man reaches over, picks up a puzzle piece, and slides it into the spot that she was just talking about, saying, 'there it is' and walks away. "
143,81,Walking out of an establishment to find my ex-girlfriend with someone else that was much older. Discussing her attitude towards the situation led me to discover that the relationship was over.
12,82,"I was in our apartment in Tokyo at the time and my husband called me to say that he was on his way home. We had been having conflict over a volunteer job at a lifeline he had been doing and how much extra time he had been spending there. I asked him if he was delayed because he stopped by the lifeline's office. He said he was not and said he'd be home in about a half hour. I was sitting in our living room talking to him on our land line. When he got home, I wanted to be intimate with him and we started to fool around a bit, but he said he couldn't do it. We were sitting on our bed and I was confused and worried. He told me that he had lied to me when he said he hadn't stopped by the lifeline's office. He didn't want to get into an argument with me so he lied. My husband had never lied to me before and he couldn't be intimate with the guilt of that lie sitting with him. He was extremely upset at himself and apologetic. He said he didn't know how I could ever forgive him and how his lying wouldn't place a shadow over my ability to trust him from that point forward. I sat on the end of the side of the bed thinking about what he'd said and done. I was very angry, but I said in a very level voice that I forgave him and wouldn't factor this one lie after more than 20 years of marriage into our future communication. He asked me how I could do that just like that. I told him that it was too important not to forgive him, but this was the one and only time that would be possible. He has not lied to me since then. "
164,83,"In our early days in dating, I caught my partner flirting with someone else, I felt really rejected and sad about this."
130,84,"J and M are having a disagreement. She is saying that M is behaving like his father. This is very hurtful, as she knows that he strongly dislikes his father and being compared to him is the ultimate insult. M tells J that he thinks she is being mean for the sake of being mean and throwing out a low blow. J doubles down and says that she doesn't know what he means by that and just calling it like she sees it. She begins to list all of the specific traits that are reminding her of M's father. M gets more and more upset and begins to cry. J continues to list adjectives despite M's tears and reaction to the cruelty."
149,85,My husband and I were discussing whether to keep our kids in all-virtual learning or let them return to hybrid learning. I said that I thought we should consider sending them back to school for hybrid learning because they really miss their friends and need the socialization. I think the schools are being pretty careful about masking protocols and COVID safety. My husband started yelling at me and saying he did not think hybrid is safe and that he was concerned that the cases were rising. I felt like he did not consider my point of view or the kids' points of view at all. I felt very hurt. It was as though he thought only his opinion mattered.
137,86,I'm buying some clothes for my baby online and there are some cute dresses. My baby is a boy but gender doesn't really matter that young. I buy a plain black dress. It's easier to change diapers in a dress. I decide to ask my husband if he minds. It turns out that he does mind and he thinks it's weird to dress our son that way. I'm non-binary and it hurts my feelings that he's so attached to the binary ideas of gender. It's not like I was asking to send him to his grandparents in a dress. I just thought it would be easier to change him and also I don't care about gender. My husband admitted that it shouldn't have been weird but that he thought it was anyway.
28,87,I saw a married couple arguing over a decision that was made without the other parties knowledge. It looked like a careless decision that should have been discussed by both parties but selfishness played a key role in the argument.
178,88,We had an argue about our relationship. And she took it to the next level. At the end she admitted her fault but that really made me sad. After engaging in an argue with my wife we had been upset to one another for a long period of time.   
127,89,I felt betrayed and unloved. I felt I had put all my trust in the wrong person. I was angry at him and didn't even want to see his face but I also was angry at myself for not knowing better and for having gotten myself into the situation. I remember we were both in the living room. the curtains were closed and the room was dark. It was the afternoon. The room was messy. I felt irritated that the room was messy. He wasn't wearing his glasses and his eyes were red. His tennis shoes were on. He had his hands balled into fists.  He kept making excuses and wanting to talk over me. We had just gotten the new couch. I already didn't like the color of that couch because it clashed with the drapes in a weird way. The kids were playing outside and I could hear them and the dog. I knew it was time to call the kids in and I didn't want to sit there and continue to hear him talk and talk and not to be able to talk myself. I just wanted him to go away already and leave me alone so I could absorb what had happened and figure out how to handle it myself. I felt like a dark cloud had descended over me and I just wanted to start making it get better immediately. I remember just looking at the curtains that were closed and wishing that I was somewhere else or that I was just someone else. Anyone else. I didn't care what he was feeling or thinking. I just wanted him to be away from me so that I could start making everything better. He kept putting his feet on the couch with his shoes and even though I didn't really like that couch it was making me irritated and angry that he kept putting his shoes on the new couch. I felt that he was disrespectful in many ways. I questioned my choice in men. I questioned all of my choices. I really just wanted to scream but his tone of voice made me feel like I was being irrational and overly emotional in the situation. I thought of who I could call to help me but I couldn't think of anyone who would be able to help me in that situation. I felt very alone and overwhelmed. I resented just having to sit there and listen to what he was talking about like I owed him that.
144,90,"When our family gathers together for a holiday (most recent was this past Christmas), it's as if I become invisible.  Things I say are not heard; things I do are not observed.  What's particularly annoying is that my wife is just as much a contributor to this phenomenon as all the rest.  If I say something with enough volume to be heard, she gets very annoyed and listens through obligation rather than interest.  Consequently, after years of this repetitive behavior, I have learned to just be quiet and stay as far in the background as possible.  Rarely am I ever missed."
61,91,"So I have an ongoing problem with my wife. We have been married quite a long time and she doesn't listen when I tell her something. This just happened last week. We were in the kitchen getting dinner ready. We usually talk about our day during dinner time. She was going on about her adventures for that particular day talking about how work went and her car is making a strange noise and her mother is driving her crazy as usual. I am usually a pretty active listener, giving eye contact nodding here and there and responding when necessary. Boy, would I like the same from her. On this particular evening she was an extremely poor listener when it was my turn to speak. When it was my turn to speak, I was stirring the sauce for dinner and telling her the story about the dog for that day. He is older and not feeling well. Of course she interrupted as usual and then she completely changed the topic back to her day. I felt like dumping the sauce on her head but of course I didn't. We have been together 24 years now and I must say it is getting worse. As usual I continue making dinner stopping my story midway. I didn't even try to get in the details of the rest of my day. Oh well another day in marriage."
110,92,"My boyfriend and I broke up over religion. We were in a relationship for four years and a couple of months ago, both his parents (who are Jewish) and my parents (who are Hindu) made us break up with each other because both families believed that there was no future for us. His Jewish parents didn't want a Hindu daughter-in-law and my parents felt the same about him. Although we had tried for the past four years to get our parents to accept the other, they never did, which always led to arguments. We continue to remain friends now and it breaks my heart every time I see him because I still love him immensely."
87,93,"I had just finished watching the news about something going on at the nations capitol. I was shocked and horrified about what was going on. My husband is a staunch republican and I am not, so he walked in the room and placed blame on the wrong individuals, when clearly it was the group of people I thought it to be. He said, as he often does, that it would come out in the end who is responsible after an inquiry came out. It was very frustrating to see this all happen and him not seeing it for what it is because of his political affiliation. We went to bed somewhat angry with one another because we were not seeing eye to eye and I was very upset. "
41,94,"I was talking about some difficulty I had at work and my wife was not really paying attention. This was frustrating for me, because I listen to her complain about work almost every day and I only rarely complain about work. She kept changing the topic to other things like her own work, or my son, or things we had going on. It was frustrating and so I pointed out that I listen when she is upset about something at work and she should do the same for me. She seemed kind of annoyed but was able to listen for about a minute or so without ignoring me or changing the topic. I felt somewhat better afterwards but I was still somewhat frustrated that I had to ask her to do something I do for her all the time."
91,95,"My husband thought our new mail carrier and I were flirting with each other. I like to get the mail as soon as it arrives and so I introduced myself to our new carrier. Now our mailman will always bring packages to the door and if it is not outside I will offer him a bottle of cold water. My husband wasn't teasing, he believes something is going on. We have been married awhile and have three children under 4. I don't think the mall carrier is looking for an immediate family. At first I thought my husband was just teasing me but now I am not sure. Has been going on since summer. Never saw him get this jealous over a mailman. All about trust to me. "
68,96,She is upset with him because he has walked by the laundry basket several times without carrying it upstairs.  He responses with I had to come in and clean off the counter because it was full of bags.  She responses with I was going to get to that in a little bit.  He response well I was going to get to the laundry basket in a little bit.  She sighs and says how many days is a little bit?  He walks away.  
103,97,I am in our shared bedroom talking about why I was letting our daughter watch a YouTube video that had a few bad words in it.  My wife was getting angry with me because I didn't make her change the video and felt like she was being the bad guy in the relationship.  I felt angry because the day earlier my daughter was watching a PG-13 movie with my wife and there were a few bad words in that one too and they continued watching the movie together.  I felt like that the no bad words policy was only applying to me and I told my wife that which she felt was not the case.  Eventually we had resolved the issue and made amends.
16,98,"I cooked a nice dinner for my husband, but I didn't know that he would be home late. He didn't even let me know that he was going to be staying at his work later than usual. He arrived home 2 hours late, and by then, the dinner I made was cold. I was mainly angry because he didn't even bother letting me know that he was going to be late due to his work. He apologized for being late and not letting me know, but I was still a little upset because I feel like I wasted my time cooking dinner for him."
198,99,"It was not to long ago when my husband suddenly decided that he wanted a new car. The car he owned at that time was perfectly fine. It ran well and never gave us huge problems. Well not only that he wanted a different car, no, it has to be a 1964 Ford Thunderbird. I told him that I think it is a beautiful car but old cars need the owners to have time and money. We are a great team and usually make all the decisions for our family together but this time he just did not care about my opinion. Like a little child that hardheadedly insists on his toy. I was mad that he handled it this way and disappointed and  sad too. He ended up buying that stupid car without my saying and spend a lot of money on it already... "
7,100,"I am talking to  my girlfriend.  She has dark brown eyes and black hair that goes past her shoulders.  We are in her room, talking about something that happened.  She is shy and doesn't want to talk about what she is feeling.  I persuade her to tell me what she is thinking in that moment.  It is late at night, dark outside.  There is a street light that is providing some illumination into the room.  But we are alone in her room, and can hear her friends outside talking and laughing.  We are sitting on the edge of her bed.  The covers are thrown back a little bit.  I am holding her hand as we talk.  She seems very afraid and not confident to talk.  I tell her it is okay."
192,101,"In watching this interaction between these two, it is clear that R makes very negative and judgmental comments about B. He describes B's decisions as if he did no processing of information and gave no thought of what would be the ""correct"" response. By correct response it appears that it must always fit into what R considers as the correct response. It seems like not only are B's feeling hurt, but he's angry and frustrated. "
86,102,"I see myself sitting in one of the cafe tables. She's been texting him, asking if they're still meeting today. He replies one time, accusing her of something. She is confused, and asking him what does he mean. He never replies again. She is frantically trying to figure out what she did wrong, and how she should talk to him. She is thinking, maybe if I said it in a different way, he won't ignore me. She is so frustrated, she gets up and goes to his home, but he is not there. She is pretty desperate, she likes this guy so much but he treats her like a dirt."
138,103,"L and N want to buy a house. L has been working really diligently to raise her credit score so that she is a more attractive borrower to a bank. N has better credit than L, but makes significantly less money. N is also in school full time right now, and lives 90 miles away during the week and comes home on the weekend. Today I saw N casually tell L that he over-maxed his credit card and he owes his credit card company a lot of money. All of this was news to L. She is angry that she didn't know about this, and even more so hurt that N doesn't understand how much this will set them back in their quest of securing a mortgage."
135,104,"I see the look on her face when she tells me that she has to cancel our plans. We were going to have a nice night out between the two of us, but she has a friend from college who is struggling with something. She has decided she needs to spend the time to talk on the phone with the friend rather than go out. She doesn't look me in the eye often except when giving details about the friend's struggles. She's not sure whether the friend is really in a bad place or is faking it or something, but she thinks the likelihood of it being real is large enough that she wants to cancel on us for the friend."
23,105,"I have made very specific vacation plans for my partner and myself. These plans were made very far in advance and he knew about the vacation plans and had already put in for vacation time from his job well ahead of time. As the day draws near he suddenly has to work and refuses to take the time off, even though it has already been approved a long time ago through the appropriate managerial channels. It is simply a personal choice that he decided to not take the time off of work and go on the vacation with me as we have previously planned and discussed."
101,106,The couple is having a tense disagreement via text message. She is at work texting with him while he is at work. She wants to have their child's birthday party at her parents' house because they have a pool and they didn't come up with another venue soon enough. There's not much time left to plan the party and this would be free and logistically simple. He does not want to have it there because he feels like his in-laws would be too involved in the planning and his own family would look critically at the situation. They are at an impasse and she is upset about the situation.
196,107,"Man and woman sitting on the couch. Both are a little tipsy from the evening events. She wants to watch a movie. He notices that the kids are asleep. He suggests they go to the bedroom and get intimate. She changes the subject as if he was just joking. He then says ""The kids are asleep. Do you want to go to the bedroom."" She looks at him and says ""Is that all you think about?"" The man says ""Oh sorry, I just thought the kids are asleep and we haven't in a while"" She shrugs him off and turns on the TV. He looks hurt and gets up and says that she can watch alone and that he is going to bed. "
191,108,"In the middle of an outdoor cafe, the couple sitting at the table nearest me began to have a conversation about planning a trip to visit his relatives in Canada, even though there is a mandatory two week quarantine once they arrive. Neither of them wanted to go, but they felt obligated due to health concerns of his father. Because he and his father have a terrible relationship, just discussing the trip made the man snappy and short and irritable. His companion was trying to be patient as she recognized his pattern whenever he discussed his father, but eventually, she had had enough of his curtness and told him to get over himself."
22,109,"I see myself in the kitchen looking at a pile of dirty dishes. These were supposed to be clean. My partner said she would clean them, but here they are. In fact, there are more dishes in the pile than there were when I was told they would be washed. I am standing with my hands on my hips in disbelief and frustration. My body language shows it. I am staring at them for some time before I throw my hands up in frustration and walk out of the room. I come back with my phone in my hand and call her. I see myself talking with frustration as she gives me an excuse over the phone. I hang up and start washing the dishes myself."
142,110,"Laying in bed on my right side. Looking at my wife, the salt lamp is on which is part of our evening routine. My wife says that she is frustrated with our house being older and not comfortable in the winter or the summer and that she wants to look for a new house. I tell her that I'm okay with that but that I feel like this conversation is like a yo-yo because she'll have periods where she likes things about the house and wants to do a lot of work and times where she hates the house and there are a lot things that she thinks would be a waste of money to spend to try to fix. I look at the ceiling frustrated because I don't feel like there is anything that I can say or do to satisfy her and watch the ceiling fan spin. "
55,111,"My wife and I were sitting on our deck and talking. I had been building a closet shelving system in one of our closets upstairs. She was telling how she did not like it and I had not done a very good job. This definitely hurt my feelings because I had worked so hard at it. I remember seeing her face as she was telling me. She did not look happy. She looked a little scared to tell me it seemed. I know that she wasn't trying to hurt my feelings, but she did. I know that I will get over it, but I kind of did not want to talk to her for a little while. She apologized to me and said she wished she had not said anything. I did forgive her because I love her very much. "
201,112,"There is a man in a bedroom,  he's folding laundry and putting it away.  He's now working on socks,  folding them and placing then in the sock drawer.  Now a woman enters the room and I can see they start a conversation - I can't hear exactly what's occurring, however, I realize there is a brief amount of loud back and forth dialog and then the woman leaves the room.  She does not look happy.  The man stops his laundry folding and sits on the edge of the bed - he looks both surprised and distressed.   He sits there silently for a bit - I can see he's still distressed. He gets up, makes a phone call, talks to someone for a bit, then leaves the room.  I can see he gets his car keys and leaves the house, drives away. "
203,113,"We planned on going a date in our early days of courting, On the date we tagged for the date, I tried reaching my partner but couldn't reach her, started doubting her truthfulness, thought she loved someone else, so I felt really sad."
76,114,"This was an argument with my wife about raising our child. She was upset because our daughter did not put her toys away like asked. I thought she was being a bit harsh. Our daughter is five and she is still learning. I got into an argument with my wife and told her to stop being so demanding and critical of our daughter. I know my daughter was hearing all of this because she was right there in the room. My wife argued that our daughter needs to do a better job of listening. Though I agree, I do not think yelling is the way to achieve this and I think we need to be more selective about what we get upset about. "
33,115,"We were selling some real estate and my partner was bending over backwards to please the broker instead of worrying about how I felt in the situation. I told him that she was an employee to us... someone we hired not someone he had to try to please, my feelings should be more important to him than what she thinks. It wasn't the first time that he had put a female strangers ideas or wants before mine and I was tired of it. These were strangers to us and he had to go home and live with me so me and my thought and ideas should have been the priority. I think he got the message that he should be more concerned about how I felt about him than someone he didn't know  ."
100,116,"When I found out that I was pregnant with our second child, my husband finally admitted that he had been having an affair with a co-worker for about 5 months. The double shock of a surprise pregnancy and the betrayal of the affair was almost too much for me! I was in such a whirlwind of emotions! I had been wanting another baby for 5+ years and we had not been using any protection so after 8+ miscarriages, I had pretty much given up on the possibility of having another child. So, when I found out I WAS pregnant, I was ecstatic! Then minutes later, I found out that my husband had been having a sexual affair with his co-worker. I went from the top of the clouds to the pits of despair! I was SO hurt and humiliated! "
156,117,"I wanted pepperoni pizza and my wife wanted mushrooms.  She knows I hate mushrooms but she ordered it like that anyway, she says all I have to do is pick them off but I don't want the mushroom grease all over the cheese so I get mad and order another pizza with no stupid mushrooms on it. I ordered it with extra garlic so that my breath would smell so badly all night long. I ate the whole pizza and had terrible gas and bad breath the whole night and she got so mad at me and made me sleep in the basement where it is really cold and dark and scary so I started to cry and she told me to shut up."
83,118,"He was sitting at the computer desk browsing the Lowes website trying to price things and get the family ready to move.  His phone chimed, he got a text message from his wife with a long winded message.  As he read the message I could see his face turning from interest to annoyed, he took a look at it again and then tossed the phone on the bed and returned to the computer.  He sat there for a while thinking about the situation, formulating what he would say back to her.  He eventually pick the phone back up and messaged her back telling her that he was not pleased that she went over his head on this decision."
89,119,I was feeling really depressed and my husband was asked to play goalie that night. I thought I was being clear that I didn't want him to go but he agreed to play the game anyway. He said I wasn't being clear.
74,120,"I remember I got in the shower to take my bath while my partner was getting ready as well and even when I was ready to go out, my partner was ready too, so when my partner told me the date was cancelled I was  so much in  shock, because I thought my  partner was as excited as I was  about the date. That really got to me .   "
111,121,"I think it happens in everyone's life. It was a party through J's office. He and his wife are ready to go there, but somehow J's wife needs more than 15 minutes to be ready. So they argue together, and In the end, they didn't go there"
189,122,"B is very mad at K. She is letting him know that he only cares about himself and only makes time for golf. He leaves the house without helping clean or cook or help with our kid. She thinks it is very selfish of him to be gone five plus hours every weekend to play golf with his buddies. She is telling him that it is not going to work for her and she storms through the kitchen, grabs her keys and leaves him at home with their son without any indication of where she is going. He is very confused and sad that he did not communicate better about how long he was going to be gone."
163,123,"There was a day O was extremely happy with His wife and then decided to surprise her by going to shop for her and give her the best gift He cold ever afford. All this happening to. His mind without the knowledge of his wife . He bought her a golden necklace and earrings because she was a big fan of. Golden jewelries. After the excitement in the shopping only for him to get the surprise of his life by meeting his wife making love to her ex boyfriend. I was extremely devastated, sad, bittered, frustrated and all I could do was collapse on the couch without saying a word to both my wife and her ex boyfriend. I reported her to her mum and she came apologizing but I couldn't help but love her  back."
213,124,"I saw them from afar off as they kept on arguing about what and who had refused to go out with the family. The wife said ""Honey you promised that you will go out with my family for the celebration that my family was organizing only for you to elope that you had work to do"". the man sneered in disgust at his wife and said "" Do you know how much I have to work to keep everything running in this house and you complain when I have a work emergency at work to attend to"" she too was still not satisfied with her man's explanation and she felt like he should have been there where she needed him the most as the case was here. "
210,125,"A husband and wife have been married for approximately six months. Prior to marrying, the husband lived with his former girlfriend, A, for the previous two years. Evidently, when he and A began dating, they soon purchased a house together. A year later, the husband discovered that A had been having multiple affairs. They supposedly broke off their relationship but continued to live together as roommates. Shortly there after, the husband met his current wife. The wife didn't realize that her husband and A had been lovers and viewed A as only his roommate. A moved but then returned for a visit 6 months after the husband and wife had gotten married. The husband invited A over to his new home with his new wife. His wife was initially okay with this, however, once A arrived, the husband began flirting really hard with her. In fact, he could not take his eyes off of her and A appeared to also be flirting back. The wife was really hurt by this and seeing her husband's infatuation with this current lover was very hurtful to say the least. A is a very beautiful woman and is also Asian to boot. She is well educated with a very prestigious job. Even though the husband has always pledged his love to his wife, it is unknown as to if he had preferred to ultimately end up with A. The husband had previously told his wife than in addition to A's multiple affairs, she had also done a lot of other very deceitful things and he considers himself as to have dodged a bullet. This is why it made it doubly hurtful that he would flirt with her so intensely and in front of his wife. In addition to being beautiful, A also wore a low cut blouse and tight jeans. A and the husband made intense eye contact many times during the two hours that A was visiting.  a mentioned that she had reservations at a pricey hotel nearby. The husband tried and tried to get her to stay there with the wife, he stated they had more than enough room (not true) so that A could stay in the comfort of our home and not have to be bothered with a hotel. To A's credit, she declined the invitation.  However, before she left, she and the husband began reminiscing about the times they were together. This included trips they took, stores they shopped at, concerts they attended, etc.  The husband had such sparks of joy in his eyes. It was so hurtful to the wife as it was as if he wife wasn't even in the room.  In truth, he was only with A in a relationship for a total of one year yet they appeared to have been together for a lifetime. The wife seem to feel that if given the chance, the husband would be back with A in a heartbeat if that opportunity was to come available. A herself was also now married though mention of her husband never came up in the conversation. The husband also continued offering A more and more wine and A began being more and more tipsy and more than willing to share their past escapades.  All of this was making the wife more and more anxious and disappointed. At no time during this evening did she feel her husband new she was around.  When A finally left, the wife was relieved but also visibly shaken at observing this undying devotion between her husband and his former lover, A.       "
182,126,"My wife and I are having an argument. She has invited her mother to stay at our house for a month. I don't mind that her mother visits, but I am angry that she decided on her own that her mother could stay at our house for that long and didn't talk to me about it. In fact, she was nervous and held off talking about it until only a few days before her mother was to visit. I am standing in the living room and my wife is sitting on the couch. I'm yelling and she is losing her cool and starting to look like she is about to cry. At one point I pound my fist on a nearby table before leaving the living room in anger."
5,127,"My wife and I were visiting New Orleans, and on this particular night had gone to see a comedian. Both of us had a lot to drink. While we were outside the venue, another audience member made a joke that my wife didn't like (it was a reference to the comedians podcast that she didn't understand). She called him a dick, and I told her to be nice. This did not go well, and we got an Uber back to our Air BnB. Once we got back, she started swearing at me, a lot. I told her I felt like she was over reacting, and as she marched up stairs she told me to suck a dick. It was the worst fight we had ever been in, I had never seen her that agree - particularly at me. When she woke up, she apologized profusely. We talked about it and moved on, but I was pretty hurt by the whole thing."
53,128,The event was around an event that M had signed up for.  It was a relay race and she asked T to drive her team and help crew them. T didn't even consider it. He just said no and that he didn't want anything to do with it. This hurt M's feelings because she had done things like this before for T. It also hurt her feelings because they usually support each other and show up for each other at big events like this. This event was a big deal for M and it would have meant a lot for T to be involved in some way. It also made her angry.
113,129,"My Wife and I were dating at the time and we were deciding whether or not we really wanted to be together. She met a guy at a restaurant who left his number with her and she decided to start talking to him. She had very low self-esteem and just wanted someone to talk to. He ended up inviting her down for a date or so she thought. When she drove to his town he picked her up to her to a fast food joint for there ""dinner date"" and then took her to the mountains and forced his way onto her. I was in a different state at the time and didn't know until she came clean when I asked if she wanted to do our relationship for real. It made me very frustrated with her and hostile. "
97,130,"There are a husband and wife sitting there. She has been knitting and he just came in from taking a walk. He sits down, exhausted and she begins asking him why he pushed some containers, on the counter, back into the corner. He responds ""well, I was cooking and they were in the way"". She says ""Well, I wanted them there. If I had wanted them in the corner, I would have put them in the corner"". He responds ""Well, you should have told me that. You are always telling me that I need to communicate more"". It is obvious they have had this argument before. He then says, ""When I left to go shopping, and you put the bread mat away, you got mad and said that if I didn't want it put away, I should have told you so"". ""I get mad at the double-standard"". He then gets up and walks out of the room."
109,131,My partner was telling me that I didn't understand the perspective of our child because I didn't spend enough time asking about their day. I argued that I did because the child gave me information about how they are feeling and she was discounting my thought process. 
199,132,"We are driving in our car through a fairly rural are. He's driving and I'm in the passenger seat. We just finished looking at a house we are thinking about buying. I keep asking him questions about what he thought about it, like what he liked and didn't like. Then when I ask him if he is leaning towards yes or no on putting in an offer he completely shuts down, ignores me and doesn't answer. When I ask him again he gets annoyed and gives a very vague answer. I get angry because he always does this, he's not great at communicating. So I just drop it, stay quiet for awhile and then change the subject."
105,133,"I am in our bedroom laying in bed. My girlfriend is lying next to me. It is late at night. I've had a little to drink and I'm feeling randy. I lean over and give her a little kiss on the back of the neck and whisper that, I've been thinking about her. I ask her if she'd like to have sex. She doesn't respond. I shift myself around to where I can see the side of her eye. It is open. I ask again if she's feeling in the mood. Again, she says nothing. I let the question sit in the air for a few minutes before asking again. A ""yes"" is preferable, a ""no"" is alright, but the silence is aggravating. I tell her this. The silence continues and a tear starts to form in her eye. I ask her why can't we just talk about this. I only asked for sex. She likes sex. She is allowed to say no. Just talk to me! After 20 grueling minutes of silence she finally chokes out that she doesn't really want to, but she feels guilty for not wanting to and thinks that it is a fundamental difference between the two of us. She isn't sure that our mismatched sex drivers can ever be resolved. Finally something that we can work on. I listen to her slow and pained words and we start to have a conversation. The tension has passed and now there is a problem to work on."
146,134,"I can see myself in a messy sad apartment. I can see myself shocked on the chair as I continue to look more and more through amazon. I'm alone, curling up in the chair as I start to tear up. I feel so hopeless and alone in that moment, I see how cluttered yet empty the apartment is. I can see the gears in my head working, to find relief yet horror of what I've gone through."
25,135,"I'm flipping through my bank statements for the month and see a discrepancy. I notice an amount of $1500 was spent at a local furniture store. I have to rub my eyes to make sure the decimals are in the right places. My wife and I have a strict spending policy of anything over $400, needs to be cleared by both people. I walk downstairs and confront my wife. Her smile turns into a frown and she is upset that I'm upset. She decided to buy a new couch because ours hurts her back. She wanted to surprise me with it as she knew I wanted one as well. I'm beyond angry as I would've liked to be a part of this entire process because it was such a large purchase."
85,136,"I was standing in my kitchen and my partner was seated at our kitchen table in the middle of the day (daylight at least). I remember making a joke about food and exercise (I don't remember the specific joke, but imagine it was a sarcastic comment of some kind) toward my partner. It was not meant maliciously, but I believe that it come across that way. My partner responded, ""don't be a douche"" in a similarly playful way, but it did make me feel hurt."
29,137,"A mother and son are discussing recent political events.  The son is speaking in a way that indicates he is agitated and is trying to express his feelings about the issue at hand.  The mother says very little.  She is listening, nodding her head and appearing to be an active listener.  The father comes into room and is agitated by the conversation.  He starts to speak to the son in a demeaning and negative way.  The mother now weighs in and stops the conversation in its tracks seeing that the father and son are headed into a nonproductive argument."
185,138,"It was morning when we both had woken up. We made breakfast and ate. We had decided to go out this night as it was the anniversary of us being together for a while. Later that night when we were getting ready, My partner received a phone call. She said she came into town this night since she had some business here. My partner and her friend chatted for a while and decided to meet up. So we ended up canceling our plans so they can meet up. I was left alone in the room and although I could understand the situation it still hurt."
69,139,"She has made a remark about how hard it is to make food when the kitchen is such a mess, and retreats to her rocking chair without making eye contact.  He says that if he spends all his time on regular housework he will never get anything else done that needs to get done.  She says okay, still without looking at him,  He snaps at her and says, in a voice that is not yelling but is nonetheless angry ""I know you think that I don't do enough, but I don't know what to tell you except do it your f'ing self."" She opens her mouth to say something, and there is a flash of anger on her face.  Instead she slumps back in her chair, resigned, and says ""ok."""
126,140,"I saw them arguing there, about something so trivial. It was an argument about food. Both seemed to know what food they wanted, but neither wanted to state what they wanted. They seemed to only want to pick things that would make the other happy. This led to an argument. A truce was almost forged over the idea of getting different things, but ultimately that fell through as well. Eventually, neither ate and went to bed hungry and angry. "
88,141,"Partner comes into the room where myself is sleeping. Partner comes up to myself and tells myself something horrible that happened the night before, after I went to sleep, with our friend who came over to hang out and have drinks. I see both parties cry, and myself get very upset. I feel uncomfortable watching this as it is a very personal and sad situation to witness. I feel very bad for myself, having to hear this news, and knowing my child is in the other room none-the-wiser. I  feel sad for this couple to have to deal with this situation now which will likely forever change their lives."
186,142,"In the third person, I see me in our bedroom. We have just moved into his grandpa's house due to him wanting to quit his job so he can get a new job and we can save money. I see me opening one of his drawers and finding a new cell phone - Pretty nice, at least $500 from my experience with cell phones. I see me turning the phone with a confused look on my face. I see my husband come into the room and see me turning the phone in my hand looking confused. I see and hear myself asking my husband ""what is this?"" I see my husband shrinking back a little and hear him tell me ""I was going to tell you about that"". "
184,143,"My husband, who is an very moral and ethical person, was laying bed at night and looking at inappropriate instagram pages without my knowledge.  My daughter somehow figured it out and told me.  I confronted my husband and he admitted what he was doing.  He deleted his instagram account and apologized and felt terrible.  However I was still really really mad and felt pretty violated.  It took me a number of weeks before I had gotten over the event enough to forgive him.  And then it took us more months for him to gain my trust back.   "
167,144,"I am watching a man and a woman going to the hospital. The woman is in labor. The man seems angry. The woman seems upset. Upon check in the man is on his phone, the woman is clearly in pain. The man says ""Don't embarrass me keep it together,"" then goes back to scrolling on his phone. Others are looking shaking their heads, the woman attempts to quiet herself. A nurse shows up and takes the man and woman back to Labor and Delivery."
